"Sexta-feira","Inicio","Entrega","borda não","refrigerante sim","29","00:38:00"
"Sexta-feira","Inicio","Entrega","borda não","refrigerante não","38.5","00:51:00"
"Sexta-feira","Inicio","Entrega","borda não","refrigerante não","35","00:31:00"
"Sexta-feira","Inicio","Buscar","borda não","refrigerante não","26","00:44:00"
"Sexta-feira","Inicio","Buscar","borda não","refrigerante sim","31","00:43:00"
"Sexta-feira","Inicio","Buscar","borda não","refrigerante não","18","00:34:00"
"Sexta-feira","Inicio","Buscar","borda sim","refrigerante não","30.5","00:46:00"
"Sexta-feira","Inicio","Entrega","borda não","refrigerante sim","33","00:46:00"
"Sexta-feira","Inicio","Buscar","borda não","refrigerante não","20","00:42:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante não","30.5","00:24:00"
"Sexta-feira","Pico","Buscar","borda não","refrigerante não","30","00:53:00"
"Sexta-feira","Pico","Buscar","borda sim","refrigerante não","32.5","00:37:00"
"Sexta-feira","Pico","Entrega","borda sim","refrigerante não","38.5","00:51:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante não","24.5","00:37:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante não","34.5","00:47:00"
"Sexta-feira","Pico","Buscar","borda não","refrigerante sim","35","00:43:00"
"Sexta-feira","Pico","Buscar","borda não","refrigerante sim","32","00:48:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante não","38.5","00:41:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante não","24.5","00:16:00"
"Sexta-feira","Final","Buscar","borda não","refrigerante sim","40","00:42:00"
"Sexta-feira","Final","Entrega","borda não","refrigerante não","20.5","00:37:00"
"Sexta-feira","Final","Buscar","borda sim","refrigerante não","31","00:44:00"
"Sexta-feira","Final","Entrega","borda não","refrigerante não","19.5","00:48:00"
"Sexta-feira","Final","Entrega","borda não","refrigerante não","25.5","00:27:00"
"Sexta-feira","Final","Buscar","borda não","refrigerante não","30","00:18:00"
"Domingo","Inicio","Entrega","borda não","refrigerante não","27","00:38:00"
"Domingo","Inicio","Buscar","borda não","refrigerante sim","21","00:45:00"
"Domingo","Inicio","Buscar","borda não","refrigerante não","12","00:35:00"
"Domingo","Inicio","Buscar","borda não","refrigerante não","26","00:51:00"
"Domingo","Inicio","Entrega","borda não","refrigerante sim","27","00:26:00"
"Domingo","Inicio","Buscar","borda não","refrigerante sim","33","00:43:00"
"Domingo","Inicio","Entrega","borda não","refrigerante não","38.5","00:52:00"
"Domingo","Inicio","Entrega","borda não","refrigerante não","29.5","00:42:00"
"Domingo","Inicio","Buscar","borda não","refrigerante sim","23.5","00:36:00"
"Domingo","Pico","Entrega","borda não","refrigerante não","19.5","00:43:00"
"Domingo","Pico","Entrega","borda não","refrigerante não","34.5","00:45:00"
"Domingo","Pico","Entrega","borda não","refrigerante não","24","00:33:00"
"Domingo","Pico","Entrega","borda não","refrigerante sim","40","00:36:00"
"Domingo","Pico","Buscar","borda não","refrigerante não","30","00:54:00"
"Domingo","Pico","Entrega","borda não","refrigerante não","26","00:34:00"
"Domingo","Pico","Entrega","borda não","refrigerante sim","36","00:45:00"
"Domingo","Pico","Entrega","borda não","refrigerante não","24","00:31:00"
"Domingo","Final","Entrega","borda não","refrigerante não","24","00:24:00"
"Domingo","Final","Buscar","borda não","refrigerante não","32","00:36:00"
"Terça-feira","Inicio","Entrega","borda não","refrigerante não","38.5","00:43:00"
"Terça-feira","Inicio","Buscar","borda não","refrigerante não","17","00:50:00"
"Terça-feira","Inicio","Entrega","borda sim","refrigerante não","37.5","00:48:00"
"Terça-feira","Pico","Entrega","borda não","refrigerante não","29","00:35:00"
"Terça-feira","Pico","Buscar","borda não","refrigerante não","17","00:41:00"
"Terça-feira","Pico","Entrega","borda não","refrigerante sim","39","00:36:00"
"Terça-feira","Pico","Buscar","borda sim","refrigerante não","23","00:24:00"
"Terça-feira","Pico","Entrega","borda não","refrigerante não","33","00:30:00"
"Terça-feira","Pico","Entrega","borda não","refrigerante sim","41","00:34:00"
"Terça-feira","Pico","Buscar","borda não","refrigerante não","30","00:49:00"
"Terça-feira","Pico","Entrega","borda sim","refrigerante não","32.5","00:41:00"
"Terça-feira","Final","Buscar","borda sim","refrigerante não","30","00:27:00"
"Quarta-feira","Inicio","Entrega","borda não","refrigerante não","26","00:50:00"
"Quarta-feira","Inicio","Entrega","borda não","refrigerante não","33","00:11:00"
"Quarta-feira","Inicio","Entrega","borda não","refrigerante não","35","00:41:00"
"Quarta-feira","Inicio","Buscar","borda não","refrigerante não","31.5","00:47:00"
"Quarta-feira","Inicio","Buscar","borda não","refrigerante não","32","00:50:00"
"Quarta-feira","Pico","Buscar","borda não","refrigerante não","36","00:40:00"
"Quarta-feira","Pico","Buscar","borda não","refrigerante não","27","00:28:00"
"Quarta-feira","Pico","Entrega","borda não","refrigerante não","33","00:48:00"
"Quarta-feira","Final","Entrega","borda não","refrigerante não","39","00:52:00"
"Quarta-feira","Final","Entrega","borda não","refrigerante não","33","00:42:00"
"Quinta-feira","Inicio","Buscar","borda não","refrigerante não","22","00:48:00"
"Quinta-feira","Pico","Buscar","borda não","refrigerante não","23","00:31:00"
"Quinta-feira","Pico","Buscar","borda não","refrigerante não","30","00:32:00"
"Quinta-feira","Pico","Buscar","borda não","refrigerante não","36","00:44:00"
"Quinta-feira","Pico","Entrega","borda não","refrigerante não","27","00:29:00"
"Quinta-feira","Pico","Entrega","borda não","refrigerante não","26","00:42:00"
"Quinta-feira","Pico","Buscar","borda não","refrigerante não","23","00:46:00"
"Quinta-feira","Pico","Entrega","borda não","refrigerante não","33","00:26:00"
"Quinta-feira","Pico","Buscar","borda não","refrigerante não","22","00:46:00"
"Quinta-feira","Pico","Buscar","borda sim","refrigerante não","32.5","00:21:00"
"Quinta-feira","Final","Entrega","borda não","refrigerante sim","36","00:50:00"
"Quinta-feira","Final","Buscar","borda sim","refrigerante não","35","00:43:00"
"Quinta-feira","Final","Entrega","borda não","refrigerante não","29","00:48:00"
"Sexta-feira","Final","Buscar","borda não","refrigerante não","24","00:45:00"
"Sexta-feira","Inicio","Entrega","borda não","refrigerante não","19","00:33:00"
"Sexta-feira","Inicio","Buscar","borda não","refrigerante não","22","00:33:00"
"Sexta-feira","Inicio","Entrega","borda não","refrigerante não","29","00:38:00"
"Sexta-feira","Pico","Buscar","borda não","refrigerante não","32","00:47:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante não","23","00:49:00"
"Sexta-feira","Pico","Buscar","borda não","refrigerante sim","26.5","00:46:00"
"Sexta-feira","Pico","Buscar","borda não","refrigerante não","27","00:19:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante sim","39.5","00:27:00"
"Sexta-feira","Pico","Buscar","borda sim","refrigerante não","31","00:36:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante não","26","00:44:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante não","27","00:38:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante não","35","00:42:00"
"Sexta-feira","Pico","Buscar","borda não","refrigerante não","22","00:30:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante não","27","00:41:00"
"Sexta-feira","Pico","Buscar","borda sim","refrigerante não","29.5","00:22:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante sim","30.5","00:52:00"
"Sexta-feira","Pico","Entrega","borda sim","refrigerante não","37.5","00:47:00"
"Sexta-feira","Final","Buscar","borda não","refrigerante não","27","00:35:00"
"Sexta-feira","Final","Entrega","borda não","refrigerante não","30","00:49:00"
"Sexta-feira","Final","Entrega","borda não","refrigerante não","29","00:36:00"
"Sexta-feira","Final","Entrega","borda não","refrigerante não","36","00:30:00"
"Sexta-feira","Final","Entrega","borda não","refrigerante não","35","00:31:00"
"Sexta-feira","Final","Entrega","borda sim","refrigerante não","39","00:49:00"
"Sexta-feira","Final","Buscar","borda não","refrigerante sim","39","00:30:00"
"Sábado","Inicio","Buscar","borda não","refrigerante não","20","00:50:00"
"Sábado","Inicio","Entrega","borda não","refrigerante não","35","00:43:00"
"Sábado","Inicio","Entrega","borda não","refrigerante não","25","00:25:00"
"Sábado","Inicio","Buscar","borda não","refrigerante não","27","00:42:00"
"Sábado","Inicio","Buscar","borda não","refrigerante sim","32","00:38:00"
"Sábado","Inicio","Entrega","borda não","refrigerante sim","47.5","00:46:00"
"Sábado","Inicio","Buscar","borda não","refrigerante não","22","00:46:00"
"Sábado","Inicio","Entrega","borda não","refrigerante sim","37","00:40:00"
"Sábado","Inicio","Entrega","borda não","refrigerante não","29","00:55:00"
"Sábado","Inicio","Entrega","borda não","refrigerante não","36","00:42:00"
"Sábado","Inicio","Entrega","borda não","refrigerante não","27","00:43:00"
"Sábado","Pico","Buscar","borda não","refrigerante sim","25","00:46:00"
"Sábado","Pico","Buscar","borda não","refrigerante não","32","00:42:00"
"Sábado","Pico","Buscar","borda sim","refrigerante não","39","00:35:00"
"Sábado","Pico","Buscar","borda não","refrigerante não","30","00:50:00"
"Sábado","Pico","Entrega","borda sim","refrigerante não","39","00:47:00"
"Sábado","Pico","Buscar","borda não","refrigerante não","30","00:43:00"
"Sábado","Pico","Buscar","borda não","refrigerante não","23","00:39:00"
"Sábado","Pico","Entrega","borda não","refrigerante sim","36","00:45:00"
"Sábado","Pico","Buscar","borda não","refrigerante não","32","00:45:00"
"Sábado","Pico","Entrega","borda não","refrigerante não","39","00:42:00"
"Sábado","Pico","Entrega","borda não","refrigerante não","32","00:53:00"
"Sábado","Pico","Entrega","borda não","refrigerante não","24","00:49:00"
"Sábado","Pico","Entrega","borda não","refrigerante não","31","00:48:00"
"Sábado","Pico","Entrega","borda não","refrigerante não","31","00:54:00"
"Sábado","Pico","Buscar","borda não","refrigerante não","26","00:22:00"
"Sábado","Final","Buscar","borda não","refrigerante não","23","00:35:00"
"Sábado","Final","Entrega","borda não","refrigerante não","18","00:48:00"
"Sábado","Final","Buscar","borda sim","refrigerante não","25","00:47:00"
"Sábado","Final","Entrega","borda não","refrigerante não","36","00:35:00"
"Sábado","Final","Entrega","borda não","refrigerante não","36","00:42:00"
"Domingo","Inicio","Entrega","borda não","refrigerante não","23","00:44:00"
"Domingo","Inicio","Buscar","borda sim","refrigerante não","39","00:38:00"
"Domingo","Inicio","Entrega","borda não","refrigerante não","26","00:40:00"
"Domingo","Inicio","Buscar","borda não","refrigerante não","27","00:34:00"
"Domingo","Inicio","Buscar","borda não","refrigerante não","22","00:50:00"
"Domingo","Inicio","Buscar","borda não","refrigerante não","36","00:43:00"
"Domingo","Inicio","Entrega","borda sim","refrigerante não","39","00:54:00"
"Domingo","Inicio","Buscar","borda não","refrigerante não","22","00:38:00"
"Domingo","Inicio","Entrega","borda não","refrigerante não","33","00:32:00"
"Domingo","Pico","Entrega","borda não","refrigerante não","26","00:24:00"
"Domingo","Pico","Buscar","borda não","refrigerante não","30","00:46:00"
"Domingo","Pico","Entrega","borda não","refrigerante não","21","00:23:00"
"Domingo","Pico","Entrega","borda não","refrigerante não","31","00:27:00"
"Domingo","Pico","Buscar","borda não","refrigerante não","32","00:51:00"
"Domingo","Pico","Entrega","borda não","refrigerante não","36","00:30:00"
"Domingo","Pico","Buscar","borda não","refrigerante não","36","00:30:00"
"Domingo","Pico","Entrega","borda não","refrigerante sim","32.5","00:38:00"
"Domingo","Pico","Entrega","borda não","refrigerante não","27","00:34:00"
"Domingo","Pico","Entrega","borda não","refrigerante não","38","00:55:00"
"Domingo","Pico","Buscar","borda não","refrigerante não","36","00:42:00"
"Domingo","Pico","Buscar","borda não","refrigerante sim","34","00:42:00"
"Domingo","Final","Entrega","borda não","refrigerante não","27","00:46:00"
"Domingo","Final","Entrega","borda não","refrigerante não","30","00:22:00"
"Domingo","Final","Entrega","borda não","refrigerante não","38.5","00:28:00"
"Domingo","Final","Entrega","borda não","refrigerante não","32.5","00:47:00"
"Domingo","Final","Entrega","borda não","refrigerante não","32.5","00:24:00"
"Domingo","Final","Entrega","borda não","refrigerante não","29.5","00:44:00"
"Domingo","Final","Buscar","borda não","refrigerante não","35","00:46:00"
"Quarta-feira","Inicio","Buscar","borda não","refrigerante não","22","00:26:00"
"Quarta-feira","Inicio","Entrega","borda sim","refrigerante não","39","00:37:00"
"Quarta-feira","Inicio","Buscar","borda não","refrigerante não","20","00:44:00"
"Quarta-feira","Pico","Entrega","borda sim","refrigerante não","39","00:46:00"
"Quarta-feira","Pico","Entrega","borda não","refrigerante não","34.5","00:53:00"
"Quarta-feira","Pico","Entrega","borda não","refrigerante sim","35","00:14:00"
"Quarta-feira","Pico","Buscar","borda não","refrigerante não","29","00:25:00"
"Quarta-feira","Pico","Buscar","borda não","refrigerante não","32","00:45:00"
"Quarta-feira","Final","Entrega","borda não","refrigerante sim","30","00:26:00"
"Quarta-feira","Final","Buscar","borda não","refrigerante sim","37","00:46:00"
"Quinta-feira","Inicio","Entrega","borda não","refrigerante não","36","00:48:00"
"Quinta-feira","Inicio","Entrega","borda não","refrigerante sim","28.5","00:43:00"
"Quinta-feira","Pico","Entrega","borda não","refrigerante não","36","00:37:00"
"Quinta-feira","Pico","Buscar","borda não","refrigerante não","30","00:22:00"
"Quinta-feira","Pico","Entrega","borda sim","refrigerante sim","40","00:43:00"
"Quinta-feira","Pico","Entrega","borda não","refrigerante não","27","00:35:00"
"Quinta-feira","Pico","Buscar","borda sim","refrigerante não","32.5","00:45:00"
"Quinta-feira","Pico","Entrega","borda não","refrigerante não","36","00:48:00"
"Quinta-feira","Final","Entrega","borda não","refrigerante não","19","00:41:00"
"Sexta-feira","Inicio","Buscar","borda não","refrigerante sim","40.5","00:40:00"
"Sexta-feira","Inicio","Entrega","borda não","refrigerante não","36","00:33:00"
"Sexta-feira","Inicio","Buscar","borda não","refrigerante não","30","00:44:00"
"Sexta-feira","Pico","Buscar","borda não","refrigerante não","36","00:44:00"
"Sexta-feira","Pico","Buscar","borda sim","refrigerante não","30","00:51:00"
"Sexta-feira","Pico","Buscar","borda não","refrigerante não","20","00:45:00"
"Sexta-feira","Pico","Entrega","borda sim","refrigerante não","33.5","00:34:00"
"Sexta-feira","Pico","Buscar","borda não","refrigerante sim","34","00:37:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante não","24.5","00:47:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante não","28.5","00:39:00"
"Sexta-feira","Pico","Buscar","borda não","refrigerante não","32","00:47:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante não","27","00:53:00"
"Sexta-feira","Pico","buscar","borda não","refrigerante não","19.5","00:37:00"
"Sexta-feira","Pico","Buscar","borda não","refrigerante não","26","00:39:00"
"Sexta-feira","Pico","Entrega","borda não","refrigerante não","36","00:53:00"
"Sexta-feira","Pico","Buscar","borda não","refrigerante não","36","00:47:00"
